,Feature,Importance
5,MA4,0.5304063657929955
17,close_lag_1,0.468039964228573
8,price_momentum,0.00017973545139909973
7,MA96,0.0001334245871583813
11,volatility,0.00010906442656204529
6,MA16,0.00010497419895678418
14,volume_volatility,9.372367090017352e-05
19,close_lag_4,8.430570502910366e-05
10,price_momentum_1d,8.363594320852116e-05
13,volume_ma16,7.623439548953343e-05
9,price_momentum_4h,7.167865670205095e-05
25,close_lag_96,6.838527957793811e-05
23,close_lag_32,6.084610893587162e-05
0,hour,5.5861774159731816e-05
2,day_of_month,5.4760230846779115e-05
21,close_lag_16,4.978685724141192e-05
18,volume_lag_1,4.0996996013573604e-05
24,volume_lag_32,4.023218010705873e-05
22,volume_lag_16,3.904599326455649e-05
26,volume_lag_96,3.639796641658651e-05
15,candle_range,3.6243542162428753e-05
16,range_pct,3.5674733301578e-05
20,volume_lag_4,3.3328804071974595e-05
12,volume_change,2.732393838191464e-05
1,day_of_week,2.5128756855909316e-05
3,month,1.2879781688395262e-05
4,year,0.0
